R(Angstrom);0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180
4.7000;-80.4721;-79.3186;-76.1964;-71.7549;-66.5842;-61.2481;-56.2876;-52.1920;-49.4407;-48.5210;-49.9093;-54.0830;-61.5120;-72.4210;-86.2655;-101.3049;-114.8182;-124.0727;-127.3329
4.8000;-71.8934;-70.8407;-67.9816;-63.9034;-59.1657;-54.3070;-49.8244;-46.1488;-43.6941;-42.8790;-44.1142;-47.8223;-54.4495;-64.2713;-76.9170;-90.9361;-103.8731;-112.9960;-116.2774
4.9000;-63.8324;-62.8980;-60.3497;-56.6964;-52.4426;-48.0858;-44.0784;-40.8045;-38.6271;-37.9108;-39.0107;-42.2955;-48.1718;-56.9227;-68.2811;-81.0145;-92.9312;-101.4603;-104.5595
5.0000;-56.4480;-55.6349;-53.4068;-50.1901;-46.4245;-42.5588;-39.0028;-36.1013;-34.1775;-33.5522;-34.5335;-37.4401;-42.6310;-50.3726;-60.4577;-71.8230;-82.5297;-90.2463;-93.0638
5.1000;-49.8020;-49.1047;-47.1832;-44.3853;-41.0845;-37.6792;-34.5390;-31.9758;-30.2800;-29.7370;-30.6151;-33.1874;-37.7638;-44.5811;-53.4656;-63.4896;-72.9499;-79.7837;-82.2831
5.2000;-43.8949;-43.3032;-41.6626;-39.2494;-36.3751;-33.3893;-30.6245;-28.3638;-26.8708;-26.4011;-27.1896;-29.4686;-33.5011;-39.4884;-47.2749;-56.0451;-64.3108;-70.2769;-72.4583
5.3000;-38.6911;-38.1928;-36.8016;-34.7319;-32.2391;-29.6282;-27.1971;-25.2042;-23.8900;-23.4850;-24.1954;-26.2186;-29.7736;-35.0257;-41.8288;-49.4624;-56.6309;-61.7903;-63.6740
5.4000;-34.1353;-33.7178;-32.5431;-30.7737;-28.6163;-26.3354;-24.1982;-22.4405;-21.2830;-20.9344;-21.5768;-23.3771;-26.5154;-31.1226;-37.0577;-43.6817;-49.8701;-54.3054;-55.9209
5.5000;-30.1634;-29.8145;-28.8247;-27.3138;-25.4475;-23.4543;-21.5737;-20.0216;-19.0007;-18.7011;-19.2841;-20.8904;-23.6663;-27.7115;-32.8880;-38.6281;-43.9572;-47.7571;-49.1371
5.6000;-26.7093;-26.4179;-25.5840;-24.2931;-22.6769;-20.9328;-19.2753;-17.9021;-17.0001;-16.7427;-17.2734;-18.7109;-21.1721;-24.7297;-29.2479;-34.2216;-38.8071;-42.0581;-43.2349
5.7000;-23.7091;-23.4654;-22.7616;-21.6563;-20.2536;-18.7240;-17.2598;-16.0422;-15.2435;-15.0222;-15.5066;-16.7968;-18.9849;-22.1204;-26.0702;-30.3839;-34.3316;-37.1135;-38.1170
5.8000;-21.1034;-20.8990;-20.3029;-19.3533;-18.1320;-16.7866;-15.4896;-14.4071;-13.6980;-13.5076;-13.9508;-15.1122;-17.0632;-19.8336;-23.2937;-27.0417;-30.4456;-32.8293;-33.6862
5.9000;-18.8387;-18.6664;-18.1590;-17.3394;-16.2718;-15.0843;-13.9319;-12.9666;-12.3354;-12.1713;-12.5776;-13.6260;-15.3706;-17.8254;-20.8642;-24.1285;-27.0703;-29.1178;-29.8513
6.0000;-16.8673;-16.7211;-16.2865;-15.5751;-14.6376;-13.5856;-12.5581;-11.6949;-11.1313;-10.9895;-11.3627;-12.3116;-13.8762;-16.0577;-18.7342;-21.5853;-24.1353;-25.8995;-26.5294
6.1000;-15.1477;-15.0226;-14.6476;-14.0263;-13.1990;-12.2631;-11.3439;-10.5695;-10.0648;-9.9420;-10.2852;-11.1461;-12.5533;-14.4978;-16.8625;-19.3605;-21.5785;-23.1042;-23.6472
6.2000;-13.6439;-13.5358;-13.2095;-12.6633;-11.9294;-11.0934;-10.2682;-9.5714;-9.1180;-9.0112;-9.3272;-10.1101;-11.3792;-13.1176;-15.2134;-17.4096;-19.3459;-20.6707;-21.1408
6.3000;-12.3249;-12.2307;-11.9443;-11.4607;-10.8062;-10.0562;-9.3130;-8.6840;-8.2755;-8.1823;-8.4734;-9.1868;-10.3344;-11.8931;-13.7565;-15.6941;-17.3911;-18.5466;-18.9555
6.4000;-11.1643;-11.0813;-10.8277;-10.3966;-9.8098;-9.1344;-8.4626;-7.8933;-7.5241;-7.4423;-7.7108;-8.3621;-9.4022;-10.8039;-12.4659;-14.1815;-15.6747;-16.6869;-17.0442
6.5000;-10.1398;-10.0659;-9.8393;-9.4524;-8.9237;-8.3130;-7.7038;-7.1870;-6.8525;-6.7804;-7.0281;-7.6236;-8.5685;-9.8324;-11.3195;-12.8437;-14.1630;-15.0535;-15.3673
6.6000;-9.2322;-9.1659;-8.9617;-8.6122;-8.1336;-7.5792;-7.0253;-6.5548;-6.2508;-6.1870;-6.4157;-6.9610;-7.8211;-8.9636;-10.2982;-11.6572;-12.8273;-13.6144;-13.8911
6.7000;-8.4255;-8.3654;-8.1800;-7.8625;-7.4271;-6.9223;-6.4170;-5.9877;-5.7108;-5.6540;-5.8651;-6.3651;-7.1497;-8.1850;-9.3861;-10.6018;-11.6436;-12.3421;-12.5874
6.8000;-7.7061;-7.6511;-7.4817;-7.1915;-6.7940;-6.3327;-5.8706;-5.4779;-5.2250;-5.1743;-5.3692;-5.8283;-6.5451;-7.4854;-8.5694;-9.6603;-10.5913;-11.2138;-11.4321
6.9000;-7.0623;-7.0117;-6.8559;-6.5895;-6.2251;-5.8024;-5.3788;-5.0188;-4.7873;-4.7417;-4.9217;-5.3437;-5.9997;-6.8555;-7.8363;-8.8183;-9.6531;-10.2101;-10.4052
7.0000;-6.4845;-6.4376;-6.2935;-6.0480;-5.7128;-5.3244;-4.9352;-4.6045;-4.3922;-4.3509;-4.5173;-4.9055;-5.5068;-6.2872;-7.1768;-8.0633;-8.8144;-9.3145;-9.4895
