# R_Bohr c0_mEh c1_mEh c2_mEh c3_mEh c4_mEh c5_mEh c6_mEh c7_mEh c8_mEh c9_mEh c10_mEh c11_mEh c12_mEh c13_mEh c14_mEh c15_mEh c16_mEh c17_mEh c18_mEh
 7.12625300e+00 -3.16139839e-01 -6.15779037e-01  7.17989973e-01 -4.78014249e-01  4.14403998e-01 -5.70223294e-02  7.47806395e-02  1.38498186e-02  1.21304662e-02  9.01308236e-04  1.24602883e-02 -2.06850275e-02 -1.19267996e-02  1.21482475e-02  1.49632250e-02 -8.14757535e-03  3.34836182e-03  6.53941401e-03  7.44871385e-03
 7.17835700e+00 -3.56993510e-01 -5.70819913e-01  5.99829918e-01 -4.52658572e-01  3.61607451e-01 -5.88638350e-02  6.35290457e-02  1.19640248e-02  1.02826328e-02 -1.43617365e-06  1.20090436e-02 -2.12238458e-02 -1.22464175e-02  1.15363216e-02  1.38009664e-02 -7.92086442e-03  2.51191968e-03  7.46114196e-03  6.41169291e-03
 7.23046100e+00 -3.91363394e-01 -5.28577502e-01  4.94624496e-01 -4.28110743e-01  3.14404215e-01 -6.00655218e-02  5.36294922e-02  1.03340785e-02  8.63267702e-03 -7.52842036e-04  1.15499831e-02 -2.16149185e-02 -1.24514918e-02  1.09023748e-02  1.26809738e-02 -7.67798528e-03  1.73181645e-03  8.35201864e-03  5.53877042e-03
 7.28256500e+00 -4.19939868e-01 -4.88944742e-01  4.01137207e-01 -4.04405872e-01  2.72254937e-01 -6.07171256e-02  4.49264714e-02  8.92500201e-03  7.15375864e-03 -1.37014506e-03  1.10810859e-02 -2.18609396e-02 -1.25479408e-02  1.02371203e-02  1.16027551e-02 -7.41543266e-03  1.00835030e-03  9.19576719e-03  4.82132480e-03
 7.33466900e+00 -4.43351437e-01 -4.51812029e-01  3.18237083e-01 -3.81569747e-01  2.34667132e-01 -6.08990979e-02  3.72799697e-02  7.70654821e-03  5.82504225e-03 -1.86926728e-03  1.06024622e-02 -2.19668535e-02 -1.25442376e-02  9.53503917e-03  1.05663851e-02 -7.13227678e-03  3.41784770e-04  9.97941468e-03  4.24782268e-03
 7.38677400e+00 -4.62169753e-01 -4.17067579e-01  2.44889495e-01 -3.59619452e-01  2.01191037e-01 -6.06833056e-02  3.05642703e-02  6.65279405e-03  4.63049125e-03 -2.26472399e-03  1.01158820e-02 -2.19396865e-02 -1.24507723e-02  8.79398240e-03  9.57229749e-03 -6.82979254e-03 -2.67662998e-04  1.06931032e-02  3.80468174e-03
 7.43887800e+00 -4.76912613e-01 -3.84600984e-01  1.80154316e-01 -3.38565946e-01  1.71418849e-01 -6.01337211e-02  2.46674006e-02  5.74180669e-03  3.55790665e-03 -2.56954437e-03  9.62438678e-03 -2.17882994e-02 -1.22792547e-02  8.01476286e-03  8.62120417e-03 -6.51107370e-03 -8.19803669e-04  1.13298037e-02  3.47707377e-03
 7.49098200e+00 -4.88050181e-01 -3.54300070e-01  1.23170724e-01 -3.18412372e-01  1.44977856e-01 -5.93070267e-02  1.94893347e-02  4.95509732e-03  2.59787789e-03 -2.79531212e-03  9.13185130e-03 -2.15230730e-02 -1.20421478e-02  7.20055812e-03  7.71385465e-03 -6.18057202e-03 -1.31458857e-03  1.18851387e-02  3.24953956e-03
 7.54308600e+00 -4.96007275e-01 -3.26054372e-01  7.31566584e-02 -2.99156513e-01  1.21530250e-01 -5.82532233e-02  1.49415195e-02  4.27727575e-03  1.74310200e-03 -2.95217079e-03  8.64268570e-03 -2.11555646e-02 -1.17521806e-02  6.35644205e-03  6.85101139e-03 -5.84370098e-03 -1.75211154e-03  1.23570457e-02  3.10658256e-03
 7.59519000e+00 -5.01167347e-01 -2.99755111e-01  2.94013864e-02 -2.80791056e-01  1.00769794e-01 -5.70161992e-02  1.09457613e-02  3.69560660e-03  9.87716905e-04 -3.04890459e-03  8.16154056e-03 -2.06981509e-02 -1.14219251e-02  5.48885937e-03  6.03334950e-03 -5.50643654e-03 -2.13267137e-03  1.27454985e-02  3.03311168e-03
 7.64729500e+00 -5.03875875e-01 -2.75295312e-01 -8.74076399e-03 -2.63303912e-01  8.24189835e-02 -5.56342424e-02  7.43321773e-03  3.19959451e-03  3.26770772e-04 -3.09303872e-03  7.69306111e-03 -2.01636668e-02 -1.10634413e-02  4.60513033e-03  5.26137902e-03 -5.17495617e-03 -2.45682343e-03  1.30522123e-02  3.01479528e-03
 7.69939900e+00 -5.04443364e-01 -2.52572123e-01 -4.18528363e-02 -2.46680127e-01  6.62280574e-02 -5.41406631e-02  4.34375169e-03  2.78063831e-03 -2.44135045e-04 -3.09095650e-03  7.24173246e-03 -1.95651157e-02 -1.06880301e-02  3.71308834e-03  4.53545475e-03 -4.85535771e-03 -2.72539434e-03  1.32803254e-02  3.03832557e-03
 7.75150300e+00 -5.03148614e-01 -2.31484384e-01 -7.04645642e-02 -2.30900430e-01  5.19706607e-02 -5.25641186e-02  1.62466545e-03  2.43162203e-03 -7.29227420e-04 -3.04803611e-03  6.81167846e-03 -1.89153076e-02 -1.03059862e-02  2.82060431e-03  3.85565153e-03 -4.55336765e-03 -2.93954820e-03  1.34341466e-02  3.09160101e-03
