R(Angstrom);0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180
8.5000;-2.1989;-2.1764;-2.1109;-2.0087;-1.8798;-1.7379;-1.5990;-1.4805;-1.3988;-1.3673;-1.3943;-1.4810;-1.6205;-1.7987;-1.9951;-2.1849;-2.3423;-2.4460;-2.4821
9.0000;-1.5659;-1.5497;-1.5025;-1.4289;-1.3363;-1.2345;-1.1352;-1.0507;-0.9926;-0.9703;-0.9896;-1.0510;-1.1496;-1.2750;-1.4126;-1.5451;-1.6550;-1.7274;-1.7527
9.5000;-1.1356;-1.1237;-1.0891;-1.0352;-0.9675;-0.8933;-0.8210;-0.7596;-0.7175;-0.7015;-0.7155;-0.7598;-0.8308;-0.9209;-1.0195;-1.1143;-1.1929;-1.2447;-1.2628
10.0000;-0.8371;-0.8282;-0.8025;-0.7624;-0.7122;-0.6571;-0.6037;-0.5584;-0.5274;-0.5157;-0.5260;-0.5585;-0.6105;-0.6764;-0.7484;-0.8175;-0.8748;-0.9125;-0.9257
12.0000;-0.2828;-0.2797;-0.2708;-0.2569;-0.2395;-0.2206;-0.2024;-0.1870;-0.1766;-0.1727;-0.1762;-0.1870;-0.2043;-0.2260;-0.2496;-0.2722;-0.2909;-0.3032;-0.3075
14.0000;-0.1129;-0.1116;-0.1079;-0.1023;-0.0953;-0.0876;-0.0803;-0.0742;-0.0700;-0.0685;-0.0699;-0.0742;-0.0810;-0.0895;-0.0987;-0.1075;-0.1148;-0.1196;-0.1213
16.0000;-0.0509;-0.0503;-0.0486;-0.0461;-0.0429;-0.0394;-0.0361;-0.0333;-0.0314;-0.0307;-0.0314;-0.0333;-0.0363;-0.0401;-0.0442;-0.0481;-0.0513;-0.0534;-0.0542
18.0000;-0.0252;-0.0249;-0.0241;-0.0228;-0.0212;-0.0194;-0.0178;-0.0164;-0.0155;-0.0152;-0.0155;-0.0164;-0.0179;-0.0198;-0.0218;-0.0237;-0.0252;-0.0263;-0.0266
20.0000;-0.0134;-0.0133;-0.0128;-0.0121;-0.0113;-0.0103;-0.0095;-0.0087;-0.0082;-0.0081;-0.0082;-0.0087;-0.0095;-0.0105;-0.0116;-0.0126;-0.0134;-0.0139;-0.0141
22.0000;-0.0076;-0.0075;-0.0073;-0.0069;-0.0064;-0.0058;-0.0053;-0.0049;-0.0046;-0.0045;-0.0046;-0.0049;-0.0054;-0.0059;-0.0065;-0.0071;-0.0075;-0.0078;-0.0080
