# R_Bohr c0_mEh c1_mEh c2_mEh c3_mEh c4_mEh c5_mEh c6_mEh c7_mEh c8_mEh c9_mEh c10_mEh c11_mEh c12_mEh c13_mEh c14_mEh c15_mEh c16_mEh c17_mEh c18_mEh
 7.75150300e+00 -5.07673789e-01 -2.30039289e-01 -6.86555648e-02 -2.43542085e-01  5.83775007e-02 -5.58959868e-02  1.57865801e-02 -3.22809495e-03 -2.20880483e-03  5.63728560e-04  2.49288052e-03 -8.21329773e-03  5.14578574e-03  3.19536659e-03  2.09800821e-03  4.48407865e-03  4.34613785e-03  7.88949043e-04 -1.08048525e-03
 7.80360700e+00 -5.04780934e-01 -2.10141255e-01 -9.35970972e-02 -2.28484283e-01  4.58180127e-02 -5.47969085e-02  1.31275317e-02 -3.68612292e-03 -2.41835869e-03  7.58024129e-04  2.84564998e-03 -8.00260864e-03  5.62107216e-03  3.51458535e-03  2.32469222e-03  4.32765692e-03  4.17136647e-03  1.05826953e-03 -1.43607384e-03
 7.85571100e+00 -5.00465917e-01 -1.91680368e-01 -1.14898592e-01 -2.14276039e-01  3.47873031e-02 -5.36149997e-02  1.07357597e-02 -4.08845381e-03 -2.52616836e-03  1.00539316e-03  3.13066459e-03 -7.75148573e-03  6.05832886e-03  3.80842586e-03  2.52821563e-03  4.15837755e-03  4.04932152e-03  1.31626802e-03 -1.71340403e-03
 7.90781600e+00 -4.94923376e-01 -1.74568979e-01 -1.32949383e-01 -2.00887398e-01  2.51261201e-02 -5.23604891e-02  8.58147195e-03 -4.43941958e-03 -2.54550063e-03  1.29500784e-03  3.34421278e-03 -7.46640538e-03  6.45435647e-03  4.07201197e-03  2.70742883e-03  3.97931979e-03  3.97525075e-03  1.56182500e-03 -1.91627519e-03
 7.95992000e+00 -4.88327905e-01 -1.58724264e-01 -1.48100318e-01 -1.88287482e-01  1.66916535e-02 -5.10427229e-02  6.63909974e-03 -4.74275524e-03 -2.48905314e-03  1.61661327e-03  3.48465255e-03 -7.15373116e-03  6.80666478e-03  4.30175882e-03  2.86209968e-03  3.79349648e-03  3.94425999e-03  1.79395835e-03 -2.04926957e-03
 8.01202400e+00 -4.80835448e-01 -1.44066256e-01 -1.60669226e-01 -1.76443407e-01  9.35487298e-03 -4.96702273e-02  4.88644335e-03 -5.00177291e-03 -2.36888818e-03  1.96062705e-03  3.55224860e-03 -6.81960654e-03  7.11347636e-03  4.49530894e-03  2.99280250e-03  3.60376426e-03  3.95136783e-03  2.01183162e-03 -2.11761245e-03
 8.06412800e+00 -4.72585536e-01 -1.30519157e-01 -1.70942602e-01 -1.65321741e-01  2.99987584e-03 -4.82509628e-02  3.30431441e-03 -5.21944337e-03 -2.19637360e-03  2.31816569e-03  3.54894817e-03 -6.46991546e-03  7.37365083e-03  4.65140117e-03  3.10076976e-03  3.41278289e-03  3.99156571e-03  2.21472026e-03 -2.12700451e-03
 8.11623200e+00 -4.63702865e-01 -1.18010939e-01 -1.79178842e-01 -1.54888602e-01 -2.47759867e-03 -4.67924192e-02  1.87603837e-03 -5.39849097e-03 -1.98213990e-03  2.68108197e-03  3.47816841e-03 -6.11022841e-03  7.58664717e-03  4.76975567e-03  3.18776332e-03  3.22297110e-03  4.05986222e-03  2.40200604e-03 -2.08348840e-03
 8.16833700e+00 -4.54298610e-01 -1.06473071e-01 -1.85610958e-01 -1.45109803e-01 -7.17142204e-03 -4.53016725e-02  5.87042403e-04 -5.54146504e-03 -1.73604306e-03  3.04199034e-03  3.34457094e-03 -5.74575777e-03  7.75248021e-03  4.85094967e-03  3.25594823e-03  3.03647435e-03  4.15132532e-03  2.57317302e-03 -1.99332087e-03
 8.22044100e+00 -4.44472506e-01 -9.58412848e-02 -1.90448509e-01 -1.35951873e-01 -1.11657908e-02 -4.37855591e-02 -5.75378895e-04 -5.65078217e-03 -1.46716315e-03  3.39424623e-03  3.15385201e-03 -5.38135805e-03  7.87166275e-03  4.89628543e-03  3.30776811e-03  2.85516135e-03  4.26111059e-03  2.72779020e-03 -1.86286738e-03
 8.27254500e+00 -4.34312980e-01 -8.60541596e-02 -1.93880511e-01 -1.27381178e-01 -1.45367225e-02 -4.22505424e-02 -1.62249072e-03 -5.72878152e-03 -1.18376545e-03  3.73198496e-03  2.91251112e-03 -5.02146449e-03  7.94517923e-03  4.90767526e-03  3.34584283e-03  2.68059414e-03  4.38450410e-03  2.86552855e-03 -1.69849017e-03
 8.32464900e+00 -4.23898952e-01 -7.70539060e-02 -1.96076896e-01 -1.19364894e-01 -1.73525467e-02 -4.07028489e-02 -2.56425110e-03 -5.77774032e-03 -8.93318266e-04  4.05008304e-03  2.62765346e-03 -4.67010934e-03  7.97442754e-03  4.88751513e-03  3.37286375e-03  2.51404228e-03  4.51694504e-03  2.98614638e-03 -1.50646497e-03
 8.37675400e+00 -4.13300425e-01 -6.87858688e-02 -1.97190467e-01 -1.11870851e-01 -1.96748206e-02 -3.91484198e-02 -3.40954766e-03 -5.79989467e-03 -6.02490906e-04  4.34415316e-03  2.30678695e-03 -4.33090322e-03  7.96117874e-03  4.83857275e-03  3.39150811e-03  2.35648299e-03  4.65405694e-03  3.08949426e-03 -1.29289712e-03
 8.42885800e+00 -4.02580176e-01 -6.11990225e-02 -1.97358475e-01 -1.04868241e-01 -2.15588596e-02 -3.75930316e-02 -4.16629657e-03 -5.79744802e-03 -3.17191724e-04  4.61049944e-03  1.95766731e-03 -4.00706117e-03  7.90753693e-03  4.76388743e-03  3.40436239e-03  2.20862525e-03  4.79166200e-03  3.17550782e-03 -1.06367115e-03
