R(Angstrom);0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180
6.8000;-8.2221;-8.0947;-7.7735;-7.3594;-6.8970;-6.4054;-5.9283;-5.5301;-5.2802;-5.2394;-5.4478;-5.9166;-6.6341;-7.5728;-8.6650;-9.7769;-10.7343;-11.3791;-11.6062
6.9000;-7.5105;-7.3963;-7.1074;-6.7323;-6.3112;-5.8624;-5.4260;-5.0614;-4.8321;-4.7945;-4.9857;-5.4156;-6.0722;-6.9268;-7.9142;-8.9125;-9.7675;-10.3412;-10.5428
7.0000;-6.8724;-6.7701;-6.5096;-6.1691;-5.7846;-5.3738;-4.9738;-4.6391;-4.4285;-4.3938;-4.5692;-4.9640;-5.5658;-6.3452;-7.2401;-8.1392;-8.9057;-9.4182;-9.5980
7.2000;-5.7827;-5.6999;-5.4873;-5.2048;-4.8820;-4.5353;-4.1971;-3.9137;-3.7349;-3.7050;-3.8531;-4.1871;-4.6946;-5.3466;-6.0866;-6.8223;-7.4445;-7.8585;-8.0035
7.4000;-4.8953;-4.8280;-4.6532;-4.4168;-4.1435;-3.8486;-3.5605;-3.3188;-3.1662;-3.1401;-3.2656;-3.5493;-3.9794;-4.5280;-5.1451;-5.7535;-6.2649;-6.6040;-6.7225
7.6000;-4.1670;-4.1119;-3.9671;-3.7678;-3.5346;-3.2820;-3.0351;-2.8279;-2.6968;-2.6740;-2.7806;-3.0224;-3.3884;-3.8528;-4.3711;-4.8786;-5.3035;-5.5846;-5.6828
7.8000;-3.5650;-3.5196;-3.3987;-3.2296;-3.0293;-2.8117;-2.5988;-2.4203;-2.3072;-2.2870;-2.3779;-2.5847;-2.8973;-3.2923;-3.7305;-4.1573;-4.5135;-4.7489;-4.8311
8.0000;-3.0642;-3.0265;-2.9248;-2.7803;-2.6073;-2.4188;-2.2345;-2.0800;-1.9820;-1.9641;-2.0419;-2.2192;-2.4873;-2.8248;-3.1973;-3.5587;-3.8597;-4.0584;-4.1278
8.5000;-2.1371;-2.1125;-2.0445;-1.9444;-1.8220;-1.6881;-1.5573;-1.4478;-1.3782;-1.3647;-1.4180;-1.5406;-1.7257;-1.9573;-2.2110;-2.4555;-2.6585;-2.7925;-2.8392
9.0000;-1.5245;-1.5077;-1.4603;-1.3888;-1.3002;-1.2030;-1.1082;-1.0291;-0.9787;-0.9684;-1.0056;-1.0919;-1.2222;-1.3848;-1.5620;-1.7322;-1.8733;-1.9664;-1.9989
9.5000;-1.1087;-1.0967;-1.0625;-1.0102;-0.9449;-0.8731;-0.8033;-0.7451;-0.7080;-0.7001;-0.7265;-0.7884;-0.8818;-0.9981;-1.1245;-1.2457;-1.3461;-1.4124;-1.4355
10.0000;-0.8200;-0.8112;-0.7859;-0.7468;-0.6978;-0.6441;-0.5920;-0.5485;-0.5208;-0.5146;-0.5338;-0.5788;-0.6469;-0.7315;-0.8234;-0.9114;-0.9843;-1.0323;-1.0491
12.0000;-0.2806;-0.2776;-0.2686;-0.2547;-0.2372;-0.2182;-0.1998;-0.1845;-0.1748;-0.1724;-0.1784;-0.1930;-0.2151;-0.2426;-0.2723;-0.3006;-0.3241;-0.3395;-0.3449
14.0000;-0.1131;-0.1118;-0.1081;-0.1023;-0.0951;-0.0872;-0.0797;-0.0734;-0.0694;-0.0683;-0.0706;-0.0763;-0.0849;-0.0955;-0.1070;-0.1179;-0.1269;-0.1329;-0.1350
16.0000;-0.0514;-0.0508;-0.0490;-0.0463;-0.0430;-0.0394;-0.0359;-0.0330;-0.0312;-0.0307;-0.0317;-0.0342;-0.0379;-0.0426;-0.0477;-0.0525;-0.0564;-0.0590;-0.0600
18.0000;-0.0256;-0.0253;-0.0244;-0.0230;-0.0213;-0.0195;-0.0178;-0.0163;-0.0154;-0.0151;-0.0156;-0.0168;-0.0187;-0.0209;-0.0234;-0.0257;-0.0276;-0.0289;-0.0293
20.0000;-0.0137;-0.0135;-0.0130;-0.0123;-0.0114;-0.0104;-0.0095;-0.0087;-0.0082;-0.0080;-0.0083;-0.0089;-0.0099;-0.0111;-0.0124;-0.0136;-0.0146;-0.0153;-0.0155
22.0000;-0.0078;-0.0077;-0.0074;-0.0070;-0.0065;-0.0059;-0.0054;-0.0049;-0.0046;-0.0045;-0.0047;-0.0050;-0.0056;-0.0062;-0.0070;-0.0076;-0.0082;-0.0086;-0.0087
