R(Angstrom),theta;0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180
9;-1.29;-1.28;-1.24;-1.18;-1.12;-1.04;-0.98;-0.92;-0.89;-0.88;-0.9;-0.95;-1.03;-1.14;-1.27;-1.41;-1.53;-1.62;-1.65
9.5;-0.92;-0.91;-0.89;-0.85;-0.8;-0.75;-0.7;-0.66;-0.64;-0.63;-0.65;-0.68;-0.74;-0.82;-0.91;-1;-1.08;-1.14;-1.16
10;-0.67;-0.66;-0.65;-0.62;-0.58;-0.55;-0.52;-0.49;-0.47;-0.46;-0.47;-0.5;-0.54;-0.6;-0.66;-0.73;-0.78;-0.82;-0.835
12;-0.22;-0.22;-0.21;-0.21;-0.19;-0.18;-0.17;-0.16;-0.16;-0.16;-0.16;-0.17;-0.18;-0.2;-0.22;-0.23;-0.25;-0.26;-0.263
14;-0.09;-0.09;-0.09;-0.08;-0.08;-0.07;-0.07;-0.07;-0.06;-0.06;-0.06;-0.07;-0.07;-0.08;-0.08;-0.09;-0.1;-0.1;-0.101
16;-0.04;-0.04;-0.04;-0.04;-0.04;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.04;-0.04;-0.04;-0.04;-0.04;-0.0448
18;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.0219
20;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.0117
22;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.00669
24;-0.01;-0.01;-0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.00392
25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.00315
